Country Name,export,import,fert_rate,child_mort_rate,GDPpc,inflation,life_expectancy,health_exppc,health_exp%,,
Solomon Islands,36.49690192,46.5014357,4.104,20,2398.772757,1.63485544,70.382,111.9044876,4.77362394,,
South Africa,27.29747129,26.75729511,2.475,33,6688.787271,4.12024587,66.175,546.6884155,9.10935497,,
Spain,34.90690181,31.9669887,1.23,3.3,29581.51855,0.6995189945,83.83170732,2711.192871,9.13213158,,
Sri Lanka,21.82353092,27.60199296,2.019,7.2,4082.69462,3.528393582,76.008,160.6969605,4.07979679,,
Sudan,0.6305741473,0.5882711599,4.617,58.4,748.0109253,50.9940515,65.876,46.92884064,4.57356596,,
Sweden,47.80921095,43.62461802,1.71,2.7,51939.42974,1.784150974,83.1097561,5671.385742,10.86749268,,
Switzerland,66.96539368,57.1622185,1.48,4,84121.93103,0.3628861799,83.90487805,9666.337891,11.29148102,,
Tajikistan,14.97993927,41.06507664,3.281,33.3,889.0202624,14.52573596,70.867,61.87225342,7.10529375,Afghanistan/ Uzbekistan,
Tanzania,16.00786388,16.95125871,4.864,50.5,1052.021729,3.46428058,66.989,40.34330368,3.82769322,,
Thailand,59.50748534,50.16101017,1.352,9,7630.03961,0.7067286013,78.975,296.1651001,3.78912091,,
Timor-Leste,21.36460766,49.49965747,3.336,43.7,1584.263844,0.9588127397,68.268,92.67004395,7.15850592,,
Togo,23.06158195,31.3104877,4.385,66.5,875.9326592,0.6858975909,60.901,51.1550293,5.72606897,,
Tonga,21.97183292,65.19361427,3.315,11.7,4879.017342,1.179543348,70.871,242.3727722,4.98149967,,
Tunisia,45.95033069,56.38228403,2.148,16.9,3477.883777,6.720075329,75.993,233.0593109,6.95845938,,
Turkiye,32.52720158,30.16152738,1.967,10.1,9103.043375,15.17682157,77.832,396.4668274,4.34409809,,
Uganda,17.10905802,22.25199595,4.809,45.3,823.1389505,2.867588034,62.991,32.40844345,3.82522416,,
Ukraine,41.23169126,49.27954304,1.228,8.4,3661.456299,7.886717456,71.82731707,248.1334839,7.09860182,,
United Arab Emirates,96.66416875,70.71939617,1.334,6.8,45376.17084,-1.931081148,79.726,1842.694458,4.27504921,,
United Kingdom,31.25760606,32.87254707,1.63,4.3,42747.08046,1.738104601,81.20487805,4312.88916,10.15402699,,
United States,11.87247011,14.57947936,1.706,6.4,65120.39466,1.812210075,78.78780488,10921.0127,16.76706314,,
Uruguay,27.75019031,21.85685327,1.546,6.7,17859.9315,7.881988709,77.508,1660.952881,9.34783173,,
Uzbekistan,28.42139186,44.435895,2.785,14.8,1784.009816,14.52573596,71.344,98.57316589,5.61760426,,
Vanuatu,50.34527687,49.03769195,3.813,25.6,3076.589886,2.762520194,69.877,104.2496109,3.36034679,,
Vietnam,85.15759031,79.54663042,1.948,21.1,3491.091274,2.795823675,74.093,180.7181854,5.24965572,,
Zambia,34.6361926,34.15501233,4.451,64.1,1268.120941,9.150316443,62.793,69.32437897,5.31220293,,
Zimbabwe,27.16345888,25.524111,3.599,54.2,1421.868596,255.3049908,61.292,103.0282722,7.70356494,,
